term,coef,stderr,z,p_value,ci_lower,ci_upper,odds_ratio,or_ci_lower,or_ci_upper,significant
num__journey_entropy,0.11661525338352526,0.015762445588520906,7.3982969665856295,1.3788969965844444e-13,0.08572086003002428,0.14750964673702624,1.1236870117344568,1.0895021622537924,1.1589444648083058,Yes
num__prop_touchpoints_first_half,-0.03155927995262157,0.022219513996103953,-1.420340695037492,0.15550851909009644,-0.07510952738498532,0.011990967479742182,0.9689335164182885,0.9276418785750755,1.0120631473439117,No
num__prop_touchpoints_second_half,0.03155927995262181,0.02221951399610396,1.4203406950375024,0.15550851909009333,-0.011990967479741953,0.07510952738498558,1.0320625544016173,0.9880806376800001,1.0780022151825142,No
num__n_consecutive_same,0.04537500729933546,0.0260341020503734,1.7429065619985407,0.08134993763145015,-0.005651832719396399,0.09640184731806732,1.0464202015523831,0.9943641088399988,1.1012014899595735,No
num__n_consecutive_diff,0.09329008288863577,0.01231693195350475,7.574133172189064,3.6193270602780103e-14,0.06914889625976646,0.11743126951750509,1.0977801363175312,1.071595753869978,1.124604332689023,Yes
num__prop_paid_to_organic,-0.014003987720335452,0.039250624466588065,-0.35678381963722106,0.7212536502029692,-0.09093521167484805,0.06292723623417715,0.9860936119894723,0.9130768657038387,1.0649493466871394,No
num__prop_organic_to_paid,-0.005028429851521793,0.038869111201349706,-0.12936827460431316,0.8970662498941817,-0.08121188780616723,0.07115502810312363,0.9949841915377453,0.9219983105466125,1.073747674031091,No
num__first_last_same,-0.00601616569256836,0.046346721080336856,-0.1298077955102802,0.896718495177675,-0.09685573901002859,0.08482340762489188,0.9940018951950034,0.907686940505306,1.0885248245405188,No
num__first_touch_repeated,-0.01005048116630383,0.04219802731857884,-0.2381741945050315,0.8117459910696319,-0.09275861471071836,0.0726576523781107,0.9899998561403361,0.9114134755511283,1.0753623261552323,No
num__count_direct_traffic,0.03499322111893592,0.021103551149674705,1.6581674274035778,0.09728367729078191,-0.006369739134426497,0.07635618137229834,1.0356126884805847,0.993650504648549,1.0793469489771175,No
num__count_display_ads,0.03996383061215312,0.018864870161748478,2.1184259562616092,0.034139009559354117,0.0029886850951260993,0.07693897612918013,1.04077312938462,1.0029931556670262,1.079976170055401,Yes
num__count_email,0.029108783251418382,0.02078762871272598,1.4002935906584801,0.16142541936403432,-0.01163496902552454,0.0698525355283613,1.0295365847208289,0.9884324554792371,1.0723500360626248,No
num__count_referral,0.044456512640488215,0.019695223149624547,2.2572230993653757,0.023994137733732934,0.005853875267224105,0.08305915001375233,1.0454595114482512,1.0058710426773243,1.0866060794119488,Yes
num__count_search_ads,0.03524630066606038,0.018681290335235964,1.8867166043439785,0.059198453139793106,-0.001369028391002107,0.07186162972312288,1.0358748140386913,0.9986319083008642,1.0745066539936883,No
num__count_social_media,0.046892541955466265,0.01696015404801176,2.7648653321615013,0.005694629999447809,0.013650640021363215,0.0801344438895693,1.048009385989364,1.0137442354019084,1.083432718792589,Yes
num__prop_direct_traffic,-0.05124229396620836,0.03501152117445793,-1.4635837646377763,0.14330771121669983,-0.1198648754681459,0.01738028753572919,0.9500484516357914,0.8870402895233056,1.0175322035717418,No
num__prop_display_ads,0.05699631098015944,0.034530741424268624,1.65059621164409,0.09882105295794075,-0.010683942211407067,0.12467656417172596,1.0586519050004148,0.9893729283849331,1.132782011521708,No
num__prop_email,0.028670761027970358,0.031371454341397945,0.9139123967911256,0.3607628791506059,-0.03281728948116961,0.09015881153711033,1.0290857235676796,0.9677153552119611,1.0943480650039445,No
num__prop_referral,-0.0007953368213627109,0.03499152482147276,-0.022729413062749632,0.9818661136614171,-0.06937872547144931,0.0677880518287239,0.9992049793751339,0.9329732724177388,1.0701384705488364,No
num__prop_search_ads,-0.04085239856893103,0.039076514336049216,-1.0454463317175533,0.29581673265495656,-0.1174423666675875,0.035737569529725434,0.9599708125569816,0.8891917573538364,1.0363838321036092,No
num__prop_social_media,0.006523230302987081,0.034393509740707255,0.18966457195458472,0.8495719843235932,-0.06088804878879914,0.0739345093947733,1.0065445529086545,0.940928571973152,1.076736287075988,No
num__count_first_half_direct_traffic,0.05199921791171247,0.025777003025510253,2.0172716688690056,0.043667170483463025,0.0014762919817123757,0.10252214384171257,1.0533749186808563,1.0014773822371659,1.107961836169686,Yes
num__count_first_half_display_ads,0.06126357325324092,0.025467368766030597,2.405571373158767,0.016147197459847273,0.011347530471820952,0.1111796160346609,1.0631791028353685,1.0114121579183613,1.1175956269225094,Yes
num__count_first_half_email,-0.003654639086225374,0.026495917113219834,-0.1379321602875159,0.8902940330943974,-0.055586636628136246,0.048277358455685496,0.9963520309791652,0.9459300679287633,1.0494616920360627,No
num__count_first_half_referral,0.04084315633712306,0.026555388155164044,1.5380365031185044,0.1240396897835021,-0.011205404446998468,0.09289171712124458,1.0416887104591466,0.9888571422590448,1.0973429053858001,No
num__count_first_half_search_ads,0.04877448865606443,0.026975177683674013,1.8081248334309898,0.0705870739648673,-0.004096859603936631,0.10164583691606549,1.0499835408399674,0.9959115210766404,1.1069913468246693,No
num__count_first_half_social_media,0.024155673774905795,0.02105950849607088,1.1470198261945463,0.2513734269661465,-0.017120962877393127,0.06543231042720471,1.024449785443143,0.9830247679383232,1.0676204680941965,No
num__count_second_half_direct_traffic,-0.0026166728536455696,0.03371530295870999,-0.07761083614909592,0.9381376223832412,-0.06869866665271715,0.06346532094542601,0.9973867476506686,0.9336079649089397,1.06552253384664,No
num__count_second_half_display_ads,-0.0031090761876773794,0.02780273823688589,-0.11182625830547037,0.9109611669865718,-0.05760244313197373,0.05138429075661896,0.9968957519846783,0.9440251765369254,1.0527273689572247,No
num__count_second_half_email,0.04454691393441027,0.024667622350568123,1.805886003171453,0.07093614785956781,-0.003801625872703246,0.09289545374152379,1.0455540266129115,0.9962055911585539,1.0973470057472146,No
num__count_second_half_referral,0.021797345443131114,0.027321021392727546,0.797823226657743,0.42497308063243455,-0.03175185648661487,0.0753465473728771,1.0220366430990648,0.9687469405256727,1.0782577535371562,No
num__count_second_half_search_ads,0.002568579837751727,0.025601473805613336,0.10032937389676935,0.9200828381422583,-0.047610308821250405,0.052747468496753866,1.0025718814651692,0.953505287286973,1.0541634020348047,No
num__count_second_half_social_media,0.04256641913111578,0.024423534301083346,1.742844365044566,0.08136080437673066,-0.005303708099007577,0.09043654636123913,1.0434853614631012,0.9947103317287763,1.094652045782384,No
cat__first_touch_channel_Direct Traffic,0.09089751404013348,0.019061428564860445,4.768662208650098,1.854533168366146e-06,0.053537114053007005,0.12825791402725994,1.0951567613149618,1.0549961462238897,1.1368461734639816,Yes
cat__first_touch_channel_Display Ads,0.14254032113803042,0.020425567550126443,6.978524380692082,2.9829472225628706e-12,0.10250620873978258,0.18257443353627825,1.1531995783393245,1.1079441808255623,1.2003034904620107,Yes
cat__first_touch_channel_Email,0.1421875772473521,0.02010307809976163,7.07292567544858,1.5170087408478139e-12,0.1027855441718193,0.1815896103228849,1.1527928659702014,1.1082537121215024,1.1991219856036852,Yes
cat__first_touch_channel_Referral,0.13521630917376076,0.01934425203221999,6.98999935218705,2.7489122089718876e-12,0.09730157519060958,0.17313104315691194,1.1447843849356498,1.1021927174840236,1.1890219080598219,Yes
cat__first_touch_channel_Search Ads,0.12284015185277818,0.022259070137959264,5.518656039602214,3.4160206885403e-08,0.07921237438237802,0.16646792932317833,1.130703665615166,1.082434178951814,1.1811256557637648,Yes
cat__first_touch_channel_Social Media,0.11529477866221875,0.019173481750838148,6.01324163031468,1.8184966865675278e-09,0.07771475443057599,0.15287480289386152,1.1222041906701274,1.0808143172003033,1.1651790927601178,Yes
cat__last_touch_channel_Direct Traffic,0.11789628591928303,0.020288906211759983,5.810874410319234,6.21473739137457e-09,0.07813002974423347,0.1576625420943326,1.1251274137604468,1.0812632459129385,1.1707710420938515,Yes
cat__last_touch_channel_Display Ads,0.1320811888170175,0.021611030200637916,6.111748842640492,9.854519422702879e-10,0.08972356962376718,0.17443880801026782,1.1412009682627455,1.0938718624974313,1.1905778863261383,Yes
cat__last_touch_channel_Email,0.14324936192752694,0.019671914788041554,7.281922653233909,3.290701044988964e-13,0.1046924089429655,0.18180631491208837,1.1540175338264311,1.1103690182430392,1.1993818689989255,Yes
cat__last_touch_channel_Referral,0.12575567808256785,0.018829460364203653,6.678666071686244,2.411271182722885e-11,0.08884993576872868,0.16266142039640702,1.1340050721404697,1.0929166363249965,1.1766382365305206,Yes
cat__last_touch_channel_Search Ads,0.11354967449588439,0.02371496505729573,4.788102121236383,1.6836597209746174e-06,0.06706834298358476,0.16003100600818404,1.1202475352418457,1.0693685595151823,1.1735472574435766,Yes
cat__last_touch_channel_Social Media,0.11644446287199386,0.02331583677988378,4.9942219089669875,5.907344353683897e-07,0.07074542278342166,0.16214350296056607,1.1234951130426258,1.073307951334316,1.1760289928547238,Yes
cat__second_touch_channel_Direct Traffic,0.12395825478932691,0.028253373684276304,4.387378872856969,1.1472484633845426e-05,0.06858164236814536,0.17933486721050845,1.1319686157445021,1.0709880593831773,1.1964213193641993,Yes
cat__second_touch_channel_Display Ads,0.10802517710776963,0.031418414517623665,3.438275889038723,0.0005854309078476838,0.04644508465322725,0.169605269562312,1.1140757942397068,1.0475405514363327,1.1848370677478912,Yes
cat__second_touch_channel_Email,0.1240763628009877,0.029313047545677907,4.232803245982599,2.3079640562917447e-05,0.06662278961145901,0.1815299359905164,1.1321023182024805,1.0688922048760334,1.1990504309347756,Yes
cat__second_touch_channel_None,0.056018730841233495,0.013202218582185479,4.243130083971101,2.2042357663565326e-05,0.03014238242014996,0.08189507926231704,1.0576174936164415,1.0306012630094867,1.0853419289795954,Yes
cat__second_touch_channel_Referral,0.10573624188059988,0.02706497971141549,3.906754891672886,9.354395828786721e-05,0.052688881646225524,0.15878360211497422,1.11152866312968,1.0541016437302673,1.1720842826756874,Yes
cat__second_touch_channel_Search Ads,0.08711956151335794,0.027265261706356184,3.1952585840409626,0.001397056078149106,0.033679648568899816,0.14055947445781605,1.0910271167736925,1.0342532291502329,1.1509175277253214,Yes
cat__second_touch_channel_Social Media,0.14404232318099822,0.028539042943627538,5.047202299864135,4.483265689803062e-07,0.08810579901148824,0.1999788473505082,1.1549329879284294,1.0921036594038271,1.2213769225289852,Yes
