roc_auc,pr_auc,accuracy,balanced_accuracy,precision,recall,specificity,f1,brier_score,log_loss,model,feature_set,repeat,fold,random_state,n_train,n_test,positive_rate_train,positive_rate_test
0.7669184695154657,0.9246316277466724,0.8350877192982457,0.5,0.8350877192982457,1.0,0.0,0.9101338432122371,0.1252193846814543,0.40905561770071347,journey_length_only,journey_length_only,6,1,42,2277,570,0.836627140974967,0.8350877192982457
0.7834892021324659,0.9366163192637301,0.836555360281195,0.5,0.836555360281195,1.0,0.0,0.9110047846889953,0.12222111191608488,0.39838618845372176,journey_length_only,journey_length_only,6,2,42,2278,569,0.8362598770851625,0.836555360281195
0.8184015541700551,0.9480615036826976,0.836555360281195,0.5,0.836555360281195,1.0,0.0,0.9110047846889953,0.11867275803575739,0.38757218094035867,journey_length_only,journey_length_only,6,3,42,2278,569,0.8362598770851625,0.836555360281195
0.7776045902231861,0.9346480888880631,0.836555360281195,0.5,0.836555360281195,1.0,0.0,0.9110047846889953,0.12304011744542415,0.4007501495916762,journey_length_only,journey_length_only,6,4,42,2278,569,0.8362598770851625,0.836555360281195
0.7843826784788441,0.9379950696078414,0.8368421052631579,0.5,0.8368421052631579,1.0,0.0,0.9111747851002865,0.12254775120818769,0.3979903282553405,journey_length_only,journey_length_only,7,0,42,2277,570,0.8361879666227492,0.8368421052631579
0.7952909887359199,0.9393985373697706,0.8350877192982457,0.5,0.8350877192982457,1.0,0.0,0.9101338432122371,0.12221288364427915,0.39731246944537346,journey_length_only,journey_length_only,7,1,42,2277,570,0.836627140974967,0.8350877192982457
0.7671794524261317,0.9280405015758731,0.836555360281195,0.5,0.836555360281195,1.0,0.0,0.9110047846889953,0.12246014341616973,0.39989509155233294,journey_length_only,journey_length_only,7,2,42,2278,569,0.8362598770851625,0.836555360281195
0.8072648414204391,0.9415745386583902,0.836555360281195,0.5,0.836555360281195,1.0,0.0,0.9110047846889953,0.11989806832540524,0.3950427476297598,journey_length_only,journey_length_only,7,3,42,2278,569,0.8362598770851625,0.836555360281195
0.762503388452155,0.9296774582293961,0.836555360281195,0.5,0.836555360281195,1.0,0.0,0.9110047846889953,0.12449605449120464,0.4040550031480502,journey_length_only,journey_length_only,7,4,42,2278,569,0.8362598770851625,0.836555360281195
0.7266743310565587,0.9207513847966847,0.8368421052631579,0.5,0.8368421052631579,1.0,0.0,0.9111747851002865,0.1284309409423014,0.41410167675790915,journey_length_only,journey_length_only,8,0,42,2277,570,0.8361879666227492,0.8368421052631579
0.8213503486500983,0.9455922302616868,0.8350877192982457,0.5,0.8350877192982457,1.0,0.0,0.9101338432122371,0.11863896457108203,0.38980723944737167,journey_length_only,journey_length_only,8,1,42,2277,570,0.836627140974967,0.8350877192982457
0.8221401463811331,0.9458140562969382,0.836555360281195,0.5,0.836555360281195,1.0,0.0,0.9110047846889953,0.11822341485711328,0.3887296206952354,journey_length_only,journey_length_only,8,2,42,2278,569,0.8362598770851625,0.836555360281195
0.7672133369476822,0.9307388102512557,0.836555360281195,0.5,0.836555360281195,1.0,0.0,0.9110047846889953,0.12306119726839464,0.39941225292902416,journey_length_only,journey_length_only,8,3,42,2278,569,0.8362598770851625,0.836555360281195
0.7774916418180176,0.9332318838616012,0.836555360281195,0.5,0.836555360281195,1.0,0.0,0.9110047846889953,0.123787789224112,0.4035094423996248,journey_length_only,journey_length_only,8,4,42,2278,569,0.8362598770851625,0.836555360281195
0.7662924641013503,0.9323530312199992,0.8368421052631579,0.5,0.8368421052631579,1.0,0.0,0.9111747851002865,0.12445669463893455,0.40410156233744116,journey_length_only,journey_length_only,9,0,42,2277,570,0.8361879666227492,0.8368421052631579
0.7643706418737708,0.9303891289987748,0.8350877192982457,0.5,0.8350877192982457,1.0,0.0,0.9101338432122371,0.12406578516613366,0.4029804796177179,journey_length_only,journey_length_only,9,1,42,2277,570,0.836627140974967,0.8350877192982457
0.8217335321225264,0.9443008475348902,0.836555360281195,0.5,0.836555360281195,1.0,0.0,0.9110047846889953,0.11831644632247823,0.38895193287547364,journey_length_only,journey_length_only,9,2,42,2278,569,0.8362598770851625,0.836555360281195
0.7808123249299719,0.9343800327063585,0.836555360281195,0.5,0.836555360281195,1.0,0.0,0.9110047846889953,0.12242259602306978,0.39957408609346573,journey_length_only,journey_length_only,9,3,42,2278,569,0.8362598770851625,0.836555360281195
0.7812189391885787,0.9345774146937491,0.836555360281195,0.5,0.836555360281195,1.0,0.0,0.9110047846889953,0.12221782569269996,0.39835474667675197,journey_length_only,journey_length_only,9,4,42,2278,569,0.8362598770851625,0.836555360281195
0.7486192827032754,0.9337761555665436,0.8403508771929824,0.5323933184554,0.8458781362007168,0.989517819706499,0.07526881720430108,0.9120772946859903,0.1208339042458335,0.3912472907477538,channel_plus_length,channel_presence_plus_length,0,0,42,2277,570,0.8361879666227492,0.8368421052631579
0.7959391203289826,0.9483682196788759,0.8315789473684211,0.5235115322724835,0.841726618705036,0.9831932773109243,0.06382978723404255,0.9069767441860465,0.11473822479056203,0.3657636723286296,channel_plus_length,channel_presence_plus_length,0,1,42,2277,570,0.836627140974967,0.8350877192982457
0.7862451432185777,0.9475008943883445,0.836555360281195,0.5,0.836555360281195,1.0,0.0,0.9110047846889953,0.11533221859861027,0.3689311470898004,channel_plus_length,channel_presence_plus_length,0,2,42,2278,569,0.8362598770851625,0.836555360281195
0.818254721243336,0.9516505887838209,0.836555360281195,0.5,0.836555360281195,1.0,0.0,0.9110047846889953,0.10946003365533297,0.3523015130135731,channel_plus_length,channel_presence_plus_length,0,3,42,2278,569,0.8362598770851625,0.836555360281195
0.7810156320592753,0.9501457087728347,0.8383128295254832,0.5486355832655643,0.8503649635036497,0.9789915966386554,0.11827956989247312,0.91015625,0.11840227182918558,0.37072844435059554,channel_plus_length,channel_presence_plus_length,0,4,42,2278,569,0.8362598770851625,0.836555360281195
0.788496652465003,0.9500666701144566,0.8368421052631579,0.5302968823966998,0.8453237410071942,0.9853249475890985,0.07526881720430108,0.9099709583736689,0.11643778035044229,0.36778681595598134,channel_plus_length,channel_presence_plus_length,1,0,42,2277,570,0.8361879666227492,0.8368421052631579
0.7699579831932772,0.9431851371291159,0.8263157894736842,0.5160915430001788,0.8396396396396396,0.9789915966386554,0.05319148936170213,0.903976721629486,0.1194623813477262,0.381069867859709,channel_plus_length,channel_presence_plus_length,1,1,42,2277,570,0.836627140974967,0.8350877192982457
